id,z,y,x
LUNGx-CT052,5.5,180.32704402515719,249.55974842767296,0.0
LUNGx-CT052,6.5,164.22641509433959,260.83018867924528,0.0
LUNGx-CT052,7.5,161.00628930817606,354.2138364779874,0.0
LUNGx-CT052,8.5,133.63522012578613,365.48427672955972,0.0
LUNGx-CT052,11.5,157.78616352201254,408.95597484276726,0.0
LUNGx-CT052,12.5,148.12578616352198,268.88050314465409,0.0
LUNGx-CT052,13.5,167.44654088050311,289.81132075471697,0.0
LUNGx-CT052,16.5,352.60377358490564,172.27672955974839,0.0
LUNGx-CT052,19.5,162.61635220125783,402.51572327044022,0.0
LUNGx-CT052,20.5,157.78616352201254,347.77358490566036,0.0
LUNGx-CT052,22.5,320.40251572327043,217.35849056603769,0.0
LUNGx-CT052,25.5,165.83647798742135,389.63522012578613,0.0
LUNGx-CT052,26.5,164.22641509433959,376.75471698113205,0.0
LUNGx-CT052,26.5,167.44654088050311,368.70440251572325,0.0
LUNGx-CT052,26.5,220.57861635220121,445.98742138364776,0.0
LUNGx-CT052,27.5,132.02515723270437,354.2138364779874,0.0
LUNGx-CT052,35.5,223.79874213836473,439.54716981132071,0.0
LUNGx-CT052,43.5,107.87421383647796,170.66666666666663,0.0
LUNGx-CT052,44.5,236.67924528301887,442.76729559748424,0.0
LUNGx-CT052,47.5,119.14465408805029,146.51572327044022,0.0
LUNGx-CT052,47.5,215.74842767295593,417.00628930817606,0.0
LUNGx-CT052,47.5,227.01886792452825,452.4276729559748,0.0
LUNGx-CT052,56.5,241.50943396226415,276.93081761006289,0.0
LUNGx-CT052,60.5,336.50314465408803,218.96855345911945,0.0
LUNGx-CT052,63.5,220.57861635220121,433.10691823899367,0.0
LUNGx-CT052,66.5,202.86792452830184,217.35849056603769,0.0
LUNGx-CT052,68.5,239.89937106918239,276.93081761006289,0.0
LUNGx-CT052,70.5,210.91823899371064,225.40880503144649,0.0
LUNGx-CT052,75.5,252.77987421383648,264.0503144654088,0.0
LUNGx-CT052,96.5,251.16981132075472,230.23899371069183,0.0
LUNGx-CT052,98.5,281.76100628930817,178.71698113207543,0.0
LUNGx-CT052,101.5,307.52201257861634,177.10691823899367,0.0
LUNGx-CT052,103.5,122.36477987421381,230.23899371069183,0.0
LUNGx-CT052,103.5,264.0503144654088,299.47169811320754,0.0
LUNGx-CT052,105.5,249.55974842767296,392.85534591194966,0.0
LUNGx-CT052,105.5,264.0503144654088,215.74842767295593,0.0
LUNGx-CT052,107.5,299.47169811320754,178.71698113207543,0.0
LUNGx-CT052,110.5,280.15094339622641,297.86163522012578,0.0
LUNGx-CT052,111.5,281.76100628930817,152.95597484276726,0.0
LUNGx-CT052,111.5,326.84276729559747,103.04402515723268,0.0
LUNGx-CT052,114.5,127.19496855345909,346.1635220125786,0.0
